commit	full_hash	date	family	status	old_path	path	subject
04b2937	04b2937865510df094cb1b7612ddf028b9c3aab5	2026-06-10T20:37:23-03:00	foundation-task-contract	A	.	README.md	Initial commit
a26d681	a26d681b17123f7639dec4a7a1c771c8530e5780	2026-06-10T20:44:49-03:00	communication-memory-bytes	A	.	.gitignore	feat: add ant byte foraging env
a26d681	a26d681b17123f7639dec4a7a1c771c8530e5780	2026-06-10T20:44:49-03:00	communication-memory-bytes	A	.	ant_byte_env/__init__.py	feat: add ant byte foraging env
a26d681	a26d681b17123f7639dec4a7a1c771c8530e5780	2026-06-10T20:44:49-03:00	communication-memory-bytes	A	.	ant_byte_env/env.py	feat: add ant byte foraging env
a26d681	a26d681b17123f7639dec4a7a1c771c8530e5780	2026-06-10T20:44:49-03:00	communication-memory-bytes	A	.	ant_byte_env/sprites.py	feat: add ant byte foraging env
a26d681	a26d681b17123f7639dec4a7a1c771c8530e5780	2026-06-10T20:44:49-03:00	communication-memory-bytes	A	.	examples/random_rollout.py	feat: add ant byte foraging env
a26d681	a26d681b17123f7639dec4a7a1c771c8530e5780	2026-06-10T20:44:49-03:00	communication-memory-bytes	A	.	pyproject.toml	feat: add ant byte foraging env
a26d681	a26d681b17123f7639dec4a7a1c771c8530e5780	2026-06-10T20:44:49-03:00	communication-memory-bytes	A	.	tests/test_determinism.py	feat: add ant byte foraging env
a26d681	a26d681b17123f7639dec4a7a1c771c8530e5780	2026-06-10T20:44:49-03:00	communication-memory-bytes	A	.	tests/test_env_api.py	feat: add ant byte foraging env
a26d681	a26d681b17123f7639dec4a7a1c771c8530e5780	2026-06-10T20:44:49-03:00	communication-memory-bytes	A	.	tests/test_render.py	feat: add ant byte foraging env
76118c6	76118c67178e9b843308a4422025cec3cd250a31	2026-06-10T20:46:18-03:00	communication-memory-bytes	A	.	ASSET_CREDITS.md	docs: document ant byte assets
76118c6	76118c67178e9b843308a4422025cec3cd250a31	2026-06-10T20:46:18-03:00	communication-memory-bytes	A	.	LICENSE	docs: document ant byte assets
76118c6	76118c67178e9b843308a4422025cec3cd250a31	2026-06-10T20:46:18-03:00	communication-memory-bytes	M	.	README.md	docs: document ant byte assets
76118c6	76118c67178e9b843308a4422025cec3cd250a31	2026-06-10T20:46:18-03:00	communication-memory-bytes	A	.	ant_byte_env/assets/ant.png	docs: document ant byte assets
76118c6	76118c67178e9b843308a4422025cec3cd250a31	2026-06-10T20:46:18-03:00	communication-memory-bytes	A	.	ant_byte_env/assets/food.png	docs: document ant byte assets
76118c6	76118c67178e9b843308a4422025cec3cd250a31	2026-06-10T20:46:18-03:00	communication-memory-bytes	A	.	ant_byte_env/assets/hub.png	docs: document ant byte assets
76118c6	76118c67178e9b843308a4422025cec3cd250a31	2026-06-10T20:46:18-03:00	communication-memory-bytes	A	.	ant_byte_env/assets/tile.png	docs: document ant byte assets
13a3afb	13a3afba33798708c4871e88b16b41aafe34bc66	2026-06-10T20:47:31-03:00	foundation-task-contract	M	.	tests/test_env_api.py	test: cover sprite loading and edge cases
13a3afb	13a3afba33798708c4871e88b16b41aafe34bc66	2026-06-10T20:47:31-03:00	foundation-task-contract	A	.	tests/test_sprites.py	test: cover sprite loading and edge cases
dd83222	dd83222692afbf0c2fbddcd191bbc50e11eaf494	2026-06-10T20:55:11-03:00	foundation-task-contract	M	.	README.md	chore: add random rollout launcher
dd83222	dd83222692afbf0c2fbddcd191bbc50e11eaf494	2026-06-10T20:55:11-03:00	foundation-task-contract	A	.	launch_random_rollout.py	chore: add random rollout launcher
11b581d	11b581d7f2a8b63b8a9ddaacfbf3b32ce8d731ea	2026-06-10T21:06:21-03:00	communication-memory-bytes	M	.	README.md	fix: reward colony deliveries and deplete food sources
11b581d	11b581d7f2a8b63b8a9ddaacfbf3b32ce8d731ea	2026-06-10T21:06:21-03:00	communication-memory-bytes	M	.	ant_byte_env/env.py	fix: reward colony deliveries and deplete food sources
11b581d	11b581d7f2a8b63b8a9ddaacfbf3b32ce8d731ea	2026-06-10T21:06:21-03:00	communication-memory-bytes	M	.	launch_random_rollout.py	fix: reward colony deliveries and deplete food sources
11b581d	11b581d7f2a8b63b8a9ddaacfbf3b32ce8d731ea	2026-06-10T21:06:21-03:00	communication-memory-bytes	M	.	tests/test_env_api.py	fix: reward colony deliveries and deplete food sources
11b581d	11b581d7f2a8b63b8a9ddaacfbf3b32ce8d731ea	2026-06-10T21:06:21-03:00	communication-memory-bytes	M	.	tests/test_render.py	fix: reward colony deliveries and deplete food sources
3839151	38391516c56dec709411c340afb30020aa464455	2026-06-10T21:10:07-03:00	communication-memory-bytes	M	.	ant_byte_env/env.py	feat: rotate ants by facing direction
3839151	38391516c56dec709411c340afb30020aa464455	2026-06-10T21:10:07-03:00	communication-memory-bytes	M	.	tests/test_env_api.py	feat: rotate ants by facing direction
3839151	38391516c56dec709411c340afb30020aa464455	2026-06-10T21:10:07-03:00	communication-memory-bytes	M	.	tests/test_render.py	feat: rotate ants by facing direction
c912195	c91219552180b54284b2a48123e93a425235eaa9	2026-06-10T21:19:38-03:00	foundation-task-contract	M	.	README.md	feat: export random rollouts as video
c912195	c91219552180b54284b2a48123e93a425235eaa9	2026-06-10T21:19:38-03:00	foundation-task-contract	M	.	launch_random_rollout.py	feat: export random rollouts as video
c912195	c91219552180b54284b2a48123e93a425235eaa9	2026-06-10T21:19:38-03:00	foundation-task-contract	M	.	pyproject.toml	feat: export random rollouts as video
c912195	c91219552180b54284b2a48123e93a425235eaa9	2026-06-10T21:19:38-03:00	foundation-task-contract	A	.	tests/test_launcher.py	feat: export random rollouts as video
67dbd92	67dbd92bc64155b96933b6000e3ae81a89fa5ec3	2026-06-10T21:37:32-03:00	communication-memory-bytes	M	.	ASSET_CREDITS.md	chore: replace ant and food sprites
