commit	full_hash	date	refs	family	subject	changed_file_count	change_statuses	changed_paths
04b2937	04b2937865510df094cb1b7612ddf028b9c3aab5	2026-06-10T20:37:23-03:00	.	foundation-task-contract	Initial commit	1	A	README.md
a26d681	a26d681b17123f7639dec4a7a1c771c8530e5780	2026-06-10T20:44:49-03:00	.	communication-memory-bytes	feat: add ant byte foraging env	9	A	.gitignore;ant_byte_env/__init__.py;ant_byte_env/env.py;ant_byte_env/sprites.py;examples/random_rollout.py;pyproject.toml;tests/test_determinism.py;tests/test_env_api.py;tests/test_render.py
76118c6	76118c67178e9b843308a4422025cec3cd250a31	2026-06-10T20:46:18-03:00	.	communication-memory-bytes	docs: document ant byte assets	7	A;M	ASSET_CREDITS.md;LICENSE;README.md;ant_byte_env/assets/ant.png;ant_byte_env/assets/food.png;ant_byte_env/assets/hub.png;ant_byte_env/assets/tile.png
13a3afb	13a3afba33798708c4871e88b16b41aafe34bc66	2026-06-10T20:47:31-03:00	.	foundation-task-contract	test: cover sprite loading and edge cases	2	A;M	tests/test_env_api.py;tests/test_sprites.py
dd83222	dd83222692afbf0c2fbddcd191bbc50e11eaf494	2026-06-10T20:55:11-03:00	.	foundation-task-contract	chore: add random rollout launcher	2	A;M	README.md;launch_random_rollout.py
11b581d	11b581d7f2a8b63b8a9ddaacfbf3b32ce8d731ea	2026-06-10T21:06:21-03:00	.	communication-memory-bytes	fix: reward colony deliveries and deplete food sources	5	M	README.md;ant_byte_env/env.py;launch_random_rollout.py;tests/test_env_api.py;tests/test_render.py
3839151	38391516c56dec709411c340afb30020aa464455	2026-06-10T21:10:07-03:00	.	communication-memory-bytes	feat: rotate ants by facing direction	3	M	ant_byte_env/env.py;tests/test_env_api.py;tests/test_render.py
c912195	c91219552180b54284b2a48123e93a425235eaa9	2026-06-10T21:19:38-03:00	.	foundation-task-contract	feat: export random rollouts as video	4	A;M	README.md;launch_random_rollout.py;pyproject.toml;tests/test_launcher.py
67dbd92	67dbd92bc64155b96933b6000e3ae81a89fa5ec3	2026-06-10T21:37:32-03:00	.	communication-memory-bytes	chore: replace ant and food sprites	3	M	ASSET_CREDITS.md;ant_byte_env/assets/ant.png;ant_byte_env/assets/food.png
cc695f5	cc695f5a14e84dc80e732012057f134128b445ae	2026-06-10T21:43:20-03:00	.	communication-memory-bytes	fix: use cookie colors for food indicators	1	M	ant_byte_env/env.py
cddfc09	cddfc09ef7971c8a1e010f836dd392ae5266d754	2026-06-10T21:51:31-03:00	.	communication-memory-bytes	fix: render cookie counts in white	1	M	ant_byte_env/env.py
27c36fc	27c36fc625152ce390619f7a5e308b9ba7e4c28a	2026-06-10T21:55:52-03:00	.	communication-memory-bytes	fix: block byte writes on food and hub tiles	3	M	README.md;ant_byte_env/env.py;tests/test_env_api.py
59ca795	59ca7952367dae7015769083e76f7986bc4ed03f	2026-06-10T21:57:30-03:00	.	foundation-task-contract	chore: enlarge random rollout defaults	3	M	README.md;launch_random_rollout.py;tests/test_launcher.py
9771434	97714340303698c51965e6273b18903467b4b523	2026-06-10T22:06:48-03:00	.	communication-memory-bytes	feat: add model-controlled ant agents	4	A;M	README.md;ant_byte_env/__init__.py;ant_byte_env/agent.py;tests/test_agent.py
