path	family	cells	code_cells	markdown_cells	headings	experiment_configs	wandb_groups
notebooks/baselines/direct_goal.ipynb	autocurriculum-exploration-baselines	13	7	6	JAX Direct-Goal Baseline; These must be set before importing JAX in this kernel.; Experiment Config	experiments/direct_goal_baseline.json	.
notebooks/communication/bit_curriculum.ipynb	communication-memory-bytes	9	5	4	JAX Communication-Bit Curriculum; Set these before importing JAX in this kernel.; Curriculum Settings	.	.
notebooks/curriculum/autocurriculum.ipynb	autocurriculum-exploration-baselines	11	6	5	MAPPO Autocurriculum; Set these before importing JAX in this kernel.; Quick Smoke Run	.	autocurriculum_50x50
notebooks/curriculum/distance_autocurriculum_250x250.ipynb	twofifty-frontier-reset	11	6	5	MAPPO Distance Autocurriculum 250x250 Healthy Reset; Set these before importing JAX in this kernel.; Quick Smoke Run	experiments/half_scale_distance_autocurriculum_250x250_healthy_reset.json	.
notebooks/curriculum/exploration.ipynb	autocurriculum-exploration-baselines	9	5	4	MAPPO Exploration Curriculum; Set these before importing JAX in this kernel.; Quick Smoke Run	.	exploration_curriculum_50x50
notebooks/curriculum/forage.ipynb	autocurriculum-exploration-baselines	11	6	5	MAPPO Curriculum; Set these before importing JAX in this kernel.; Quick Smoke Run	.	forage_curriculum_50x50
notebooks/curriculum/maze_exploration.ipynb	hundred-bridge-maze-stress	9	5	4	MAPPO Maze Exploration Curriculum; Set these before importing JAX in this kernel.; Quick Smoke Run	experiments/maze_exploration_curriculum.json	maze_exploration_curriculum
notebooks/exploration_to_forage/base_50x50.ipynb	source-layout-50x50	11	6	5	MAPPO Exploration To Forage Curriculum 50x50; Set these before importing JAX in this kernel.; Quick Smoke Run	experiments/exploration_to_forage_50x50.json	exploration_to_forage_50x50_efficient
notebooks/scaling/ant_count_curriculum.ipynb	ant-count-25x25-autoresearch	9	5	4	JAX Ant-Count Curriculum; Set these before importing JAX in this kernel.; Curriculum Settings	.	.
notebooks/scaling/full_layout_60ants_half_food_shared_writes_write_cost_8bits_50x50.ipynb	sixty-ant-50x50-stabilization	15	8	7	MAPPO Full-Layout 60-Ant Half-Food Shared Writes Write-Cost 8-Bit 50x50; Set these before importing JAX in this kernel.; Quick Smoke Run	experiments/exploration_to_forage_full_layout_60ants_half_food_50x50_shared_writes_write_cost_8bits_stabilize_from_60best.json	.
notebooks/scaling/full_layout_8ants_half_food_50x50.ipynb	critic-full-layout-50x50	11	6	5	MAPPO Full-Layout 8-Ant Half-Food 50x50; Set these before importing JAX in this kernel.; Quick Smoke Run	experiments/exploration_to_forage_full_layout_8ants_half_food_50x50.json	.
notebooks/scaling/full_layout_8ants_half_food_shared_writes_50x50.ipynb	critic-full-layout-50x50	11	6	5	MAPPO Full-Layout 8-Ant Half-Food Shared Writes 50x50; Set these before importing JAX in this kernel.; Quick Smoke Run	experiments/exploration_to_forage_full_layout_8ants_half_food_50x50_shared_writes.json	.
notebooks/scaling/full_layout_8ants_half_food_shared_writes_write_cost_50x50.ipynb	critic-full-layout-50x50	13	7	6	MAPPO Full-Layout 8-Ant Half-Food Shared Writes Write-Cost 50x50; Set these before importing JAX in this kernel.; Quick Smoke Run	experiments/exploration_to_forage_full_layout_8ants_half_food_50x50_shared_writes_write_cost.json	.
notebooks/scaling/full_layout_8ants_half_food_shared_writes_write_cost_8bits_50x50.ipynb	critic-full-layout-50x50	13	7	6	MAPPO Full-Layout 8-Ant Half-Food Shared Writes Write-Cost 8-Bit 50x50; Set these before importing JAX in this kernel.; Quick Smoke Run	experiments/exploration_to_forage_full_layout_8ants_half_food_50x50_shared_writes_write_cost_8bits.json	.
notebooks/source_layouts/padded_sources_50x50.ipynb	source-layout-50x50	11	6	5	MAPPO Padded Source Curriculum 50x50; Set these before importing JAX in this kernel.; Quick Smoke Run	experiments/exploration_to_forage_padded_sources_50x50.json	exploration_to_forage_padded_sources_50x50
notebooks/source_layouts/proximity_sources_50x50.ipynb	source-layout-50x50	11	6	5	MAPPO Proximity Source Curriculum 50x50 Outer / 30x30 Inner; Set these before importing JAX in this kernel.; Quick Smoke Run	experiments/exploration_to_forage_proximity_sources_50x50.json	.
notebooks/source_layouts/scratch_smooth_sources_50x50.ipynb	source-layout-50x50	11	6	5	MAPPO Scratch Smooth Source Curriculum 80x80 Outer / 50x50 Inner; Set these before importing JAX in this kernel.; Quick Smoke Run	experiments/exploration_to_forage_scratch_smooth_sources_50x50.json	.
