run_dir	family	evidence_files	summary	evaluation	train_result	config	plan	experiment_md	metrics_jsonl	metric_source	eval_mean_delivered_food	eval_mean_delivered_fraction	eval_success_rate	delivery_events	pickup_events	env_return	episode_return	final_mean_remaining_food	best_model_metric_value	global_step	update	num_updates
runs/autoresearch/forage_loop/DISTANCE_CAP12_BIGMAP_RARE_VISION2_RANDOM_SPAWN	bigmap-deployment-rendering	evaluation.json;experiment.md;plan.json;summary.json	runs/autoresearch/forage_loop/DISTANCE_CAP12_BIGMAP_RARE_VISION2_RANDOM_SPAWN/summary.json	runs/autoresearch/forage_loop/DISTANCE_CAP12_BIGMAP_RARE_VISION2_RANDOM_SPAWN/evaluation.json	.	.	runs/autoresearch/forage_loop/DISTANCE_CAP12_BIGMAP_RARE_VISION2_RANDOM_SPAWN/plan.json	runs/autoresearch/forage_loop/DISTANCE_CAP12_BIGMAP_RARE_VISION2_RANDOM_SPAWN/experiment.md	.	runs/autoresearch/forage_loop/DISTANCE_CAP12_BIGMAP_RARE_VISION2_RANDOM_SPAWN/evaluation.json	9.5	0.4130434782608696	0.020833333333333332	.	.	.	.	.	.	.	.	.
runs/autoresearch/forage_loop/DISTANCE_CAP12_SPEED_12A_550	ant-count-25x25-autoresearch	evaluation.json;experiment.md;plan.json;summary.json	runs/autoresearch/forage_loop/DISTANCE_CAP12_SPEED_12A_550/summary.json	runs/autoresearch/forage_loop/DISTANCE_CAP12_SPEED_12A_550/evaluation.json	.	.	runs/autoresearch/forage_loop/DISTANCE_CAP12_SPEED_12A_550/plan.json	runs/autoresearch/forage_loop/DISTANCE_CAP12_SPEED_12A_550/experiment.md	.	runs/autoresearch/forage_loop/DISTANCE_CAP12_SPEED_12A_550/evaluation.json	20.46875	0.889945652173913	0.3125	.	.	.	.	.	.	.	.	.
runs/autoresearch/forage_loop/DISTANCE_CAP16_SPEED_16A_550	ant-count-25x25-autoresearch	evaluation.json;experiment.md;plan.json;summary.json	runs/autoresearch/forage_loop/DISTANCE_CAP16_SPEED_16A_550/summary.json	runs/autoresearch/forage_loop/DISTANCE_CAP16_SPEED_16A_550/evaluation.json	.	.	runs/autoresearch/forage_loop/DISTANCE_CAP16_SPEED_16A_550/plan.json	runs/autoresearch/forage_loop/DISTANCE_CAP16_SPEED_16A_550/experiment.md	.	runs/autoresearch/forage_loop/DISTANCE_CAP16_SPEED_16A_550/evaluation.json	20.734375	0.9014945652173912	0.5625	.	.	.	.	.	.	.	.	.
runs/autoresearch/forage_loop/DISTANCE_CAP16_SPEED_TEMP_GRID	ant-count-25x25-autoresearch	evaluation.json;experiment.md;plan.json;summary.json	runs/autoresearch/forage_loop/DISTANCE_CAP16_SPEED_TEMP_GRID/summary.json	runs/autoresearch/forage_loop/DISTANCE_CAP16_SPEED_TEMP_GRID/evaluation.json	.	.	runs/autoresearch/forage_loop/DISTANCE_CAP16_SPEED_TEMP_GRID/plan.json	runs/autoresearch/forage_loop/DISTANCE_CAP16_SPEED_TEMP_GRID/experiment.md	.	runs/autoresearch/forage_loop/DISTANCE_CAP16_SPEED_TEMP_GRID/evaluation.json	21.28125	0.9252717391304348	0.515625	.	.	.	.	.	.	.	.	.
runs/autoresearch/forage_loop/DISTANCE_CAP24_SPEED_BEST_SELECT_430	ant-count-25x25-autoresearch	evaluation.json;experiment.md;plan.json;summary.json	runs/autoresearch/forage_loop/DISTANCE_CAP24_SPEED_BEST_SELECT_430/summary.json	runs/autoresearch/forage_loop/DISTANCE_CAP24_SPEED_BEST_SELECT_430/evaluation.json	.	.	runs/autoresearch/forage_loop/DISTANCE_CAP24_SPEED_BEST_SELECT_430/plan.json	runs/autoresearch/forage_loop/DISTANCE_CAP24_SPEED_BEST_SELECT_430/experiment.md	.	runs/autoresearch/forage_loop/DISTANCE_CAP24_SPEED_BEST_SELECT_430/evaluation.json	22.015625	0.9572010869565218	0.5546875	.	.	.	.	.	.	.	.	.
runs/autoresearch/forage_loop/DISTANCE_CAP24_SPEED_BEST_SELECT_CONFIRM_GRID	ant-count-25x25-autoresearch	evaluation.json;experiment.md;plan.json;summary.json	runs/autoresearch/forage_loop/DISTANCE_CAP24_SPEED_BEST_SELECT_CONFIRM_GRID/summary.json	runs/autoresearch/forage_loop/DISTANCE_CAP24_SPEED_BEST_SELECT_CONFIRM_GRID/evaluation.json	.	.	runs/autoresearch/forage_loop/DISTANCE_CAP24_SPEED_BEST_SELECT_CONFIRM_GRID/plan.json	runs/autoresearch/forage_loop/DISTANCE_CAP24_SPEED_BEST_SELECT_CONFIRM_GRID/experiment.md	.	runs/autoresearch/forage_loop/DISTANCE_CAP24_SPEED_BEST_SELECT_CONFIRM_GRID/evaluation.json	21.8359375	0.9493885869565217	0.48046875	.	.	.	.	.	.	.	.	.
runs/autoresearch/forage_loop/DISTANCE_CAP24_SPEED_BEST_SELECT_SEED2_430	ant-count-25x25-autoresearch	evaluation.json;experiment.md;plan.json;summary.json	runs/autoresearch/forage_loop/DISTANCE_CAP24_SPEED_BEST_SELECT_SEED2_430/summary.json	runs/autoresearch/forage_loop/DISTANCE_CAP24_SPEED_BEST_SELECT_SEED2_430/evaluation.json	.	.	runs/autoresearch/forage_loop/DISTANCE_CAP24_SPEED_BEST_SELECT_SEED2_430/plan.json	runs/autoresearch/forage_loop/DISTANCE_CAP24_SPEED_BEST_SELECT_SEED2_430/experiment.md	.	runs/autoresearch/forage_loop/DISTANCE_CAP24_SPEED_BEST_SELECT_SEED2_430/evaluation.json	21.578125	0.938179347826087	0.421875	.	.	.	.	.	.	.	.	.
runs/autoresearch/forage_loop/DISTANCE_CAP24_SPEED_BEST_SELECT_SEED2_CONFIRM_GRID	ant-count-25x25-autoresearch	evaluation.json;experiment.md;plan.json;summary.json	runs/autoresearch/forage_loop/DISTANCE_CAP24_SPEED_BEST_SELECT_SEED2_CONFIRM_GRID/summary.json	runs/autoresearch/forage_loop/DISTANCE_CAP24_SPEED_BEST_SELECT_SEED2_CONFIRM_GRID/evaluation.json	.	.	runs/autoresearch/forage_loop/DISTANCE_CAP24_SPEED_BEST_SELECT_SEED2_CONFIRM_GRID/plan.json	runs/autoresearch/forage_loop/DISTANCE_CAP24_SPEED_BEST_SELECT_SEED2_CONFIRM_GRID/experiment.md	.	runs/autoresearch/forage_loop/DISTANCE_CAP24_SPEED_BEST_SELECT_SEED2_CONFIRM_GRID/evaluation.json	21.46484375	0.9332540760869565	0.40625	.	.	.	.	.	.	.	.	.
runs/autoresearch/forage_loop/DISTANCE_CAP24_SPEED_COMPLETION3_BEST_SELECT_430	ant-count-25x25-autoresearch	evaluation.json;experiment.md;plan.json;summary.json	runs/autoresearch/forage_loop/DISTANCE_CAP24_SPEED_COMPLETION3_BEST_SELECT_430/summary.json	runs/autoresearch/forage_loop/DISTANCE_CAP24_SPEED_COMPLETION3_BEST_SELECT_430/evaluation.json	.	.	runs/autoresearch/forage_loop/DISTANCE_CAP24_SPEED_COMPLETION3_BEST_SELECT_430/plan.json	runs/autoresearch/forage_loop/DISTANCE_CAP24_SPEED_COMPLETION3_BEST_SELECT_430/experiment.md	.	runs/autoresearch/forage_loop/DISTANCE_CAP24_SPEED_COMPLETION3_BEST_SELECT_430/evaluation.json	21.234375	0.923233695652174	0.4296875	.	.	.	.	.	.	.	.	.
runs/autoresearch/forage_loop/DISTANCE_CAP24_SPEED_COMPLETION_BONUS_430	ant-count-25x25-autoresearch	evaluation.json;experiment.md;plan.json;summary.json	runs/autoresearch/forage_loop/DISTANCE_CAP24_SPEED_COMPLETION_BONUS_430/summary.json	runs/autoresearch/forage_loop/DISTANCE_CAP24_SPEED_COMPLETION_BONUS_430/evaluation.json	.	.	runs/autoresearch/forage_loop/DISTANCE_CAP24_SPEED_COMPLETION_BONUS_430/plan.json	runs/autoresearch/forage_loop/DISTANCE_CAP24_SPEED_COMPLETION_BONUS_430/experiment.md	.	runs/autoresearch/forage_loop/DISTANCE_CAP24_SPEED_COMPLETION_BONUS_430/evaluation.json	21.791666666666668	0.947463768115942	0.3958333333333333	.	.	.	.	.	.	.	.	.
