run_dir	family	local_run_id	local_started	has_summary	has_metadata	has_config	wandb_project	wandb_group	wandb_run_name	exp_name	git_commit	program	started_at	eval_mean_delivered_food	eval_mean_delivered_fraction	eval_success_rate	delivery_events	pickup_events	env_return	episode_return	final_mean_remaining_food	best_model_metric_value	global_step	update	num_updates	summary_keys
runs/bridge_100x100_sweep/continue120_20260703_004806/continue120_0000_mid250_from_best_mt050_lr5e6_u24/wandb/run-20260702_214816-djr5i75l	hundred-bridge-maze-stress	djr5i75l	20260702_214816	yes	yes	yes	cool-antz	continue120_20260703_004806	continue120_0000_mid250_from_best_mt050_lr5e6_u24	jax_mappo_100x100_continue120_0000_mid250_from_best_mt050_lr5e6_u24	00fa2e3cc967d7b61694c201647f4bb7ab03deb8	scripts/run_100x100_continuation_sweep.py	2026-07-03T00:48:16.405923Z	196.75	0.787	0	152	95	38	33.122257232666016	52.5	0.7903604856482283	24576	24	24	_runtime;_step;_timestamp;_wandb;actor_grad_norm;applied_write_action_nonzero_rate;approx_kl;best_eval_episodes;best_eval_seed_offset;best_model_metric_value;carrying_write_action_nonzero_rate;clipfrac;completed_episodes;critic_grad_norm;delivery_events;empty_write_action_nonzero_rate;entropy;env_return;episode_return;eval_mean_ant_steps_per_delivered_food;eval_mean_delivered_food;eval_mean_delivered_food_per_1000_ant_steps;eval_mean_delivered_fraction;eval_mean_episode_length;eval_mean_episode_return;eval_mean_steps_per_delivered_food;eval_success_rate;final_mean_border_moat_cost;final_mean_nonzero_byte_fraction;final_mean_nonzero_byte_tiles;final_mean_remaining_food;final_mean_viewed_cell_count;final_mean_viewed_cell_fraction;final_mean_visible_border_cells;final_mean_visited_cell_count;final_mean_visited_cell_fraction;global_step;grad_norm;learning_rate;loss;mean_border_moat_cost;mean_carrying_ants;mean_nonzero_byte_fraction;mean_nonzero_byte_tiles;mean_overwrites_per_env_step;mean_viewed_cell_count;mean_viewed_cell_fraction;mean_visible_border_cells;mean_visited_cell_count;mean_visited_cell_fraction;mean_write_action_value;mean_write_attempts_per_env_step;nonzero_writes_per_delivery;num_updates;pickup_events;policy_loss;terminated_episodes;truncated_episodes;update;value_loss;viewed_cell_events;visited_cell_events;write_action_nonzero_rate
runs/bridge_100x100_sweep/continue120_20260703_004806/continue120_0001_mid250_from_best_mt0525_lr5e6_u24/wandb/run-20260702_215718-qa3dpcdc	hundred-bridge-maze-stress	qa3dpcdc	20260702_215718	yes	yes	yes	cool-antz	continue120_20260703_004806	continue120_0001_mid250_from_best_mt0525_lr5e6_u24	jax_mappo_100x100_continue120_0001_mid250_from_best_mt0525_lr5e6_u24	00fa2e3cc967d7b61694c201647f4bb7ab03deb8	scripts/run_100x100_continuation_sweep.py	2026-07-03T00:57:18.524796Z	248	0.992	0.5	104	76	26	20.872753143310547	95.75	0.9831551573434256	24576	24	24	_runtime;_step;_timestamp;_wandb;actor_grad_norm;applied_write_action_nonzero_rate;approx_kl;best_eval_episodes;best_eval_seed_offset;best_model_metric_value;carrying_write_action_nonzero_rate;clipfrac;completed_episodes;critic_grad_norm;delivery_events;empty_write_action_nonzero_rate;entropy;env_return;episode_return;eval_mean_ant_steps_per_delivered_food;eval_mean_delivered_food;eval_mean_delivered_food_per_1000_ant_steps;eval_mean_delivered_fraction;eval_mean_episode_length;eval_mean_episode_return;eval_mean_steps_per_delivered_food;eval_success_rate;final_mean_border_moat_cost;final_mean_nonzero_byte_fraction;final_mean_nonzero_byte_tiles;final_mean_remaining_food;final_mean_viewed_cell_count;final_mean_viewed_cell_fraction;final_mean_visible_border_cells;final_mean_visited_cell_count;final_mean_visited_cell_fraction;global_step;grad_norm;learning_rate;loss;mean_border_moat_cost;mean_carrying_ants;mean_nonzero_byte_fraction;mean_nonzero_byte_tiles;mean_overwrites_per_env_step;mean_viewed_cell_count;mean_viewed_cell_fraction;mean_visible_border_cells;mean_visited_cell_count;mean_visited_cell_fraction;mean_write_action_value;mean_write_attempts_per_env_step;nonzero_writes_per_delivery;num_updates;pickup_events;policy_loss;terminated_episodes;truncated_episodes;update;value_loss;viewed_cell_events;visited_cell_events;write_action_nonzero_rate
runs/bridge_100x100_sweep/continue120_20260703_004806/continue120_0002_mid250_from_best_mt060_lr5e6_u16/wandb/run-20260702_220524-vtn9c7p5	hundred-bridge-maze-stress	vtn9c7p5	20260702_220524	yes	yes	yes	cool-antz	continue120_20260703_004806	continue120_0002_mid250_from_best_mt060_lr5e6_u16	jax_mappo_100x100_continue120_0002_mid250_from_best_mt060_lr5e6_u16	ed2d78e726fde73d599297921600279d00f8066c	scripts/run_100x100_continuation_sweep.py	2026-07-03T01:05:24.384209Z	244.75	0.979	0.5	36	0	9	2.900057792663574	0	0.6446323156070115	16384	16	16	_runtime;_step;_timestamp;_wandb;actor_grad_norm;applied_write_action_nonzero_rate;approx_kl;best_eval_episodes;best_eval_seed_offset;best_model_metric_value;carrying_write_action_nonzero_rate;clipfrac;completed_episodes;critic_grad_norm;delivery_events;empty_write_action_nonzero_rate;entropy;env_return;episode_return;eval_mean_ant_steps_per_delivered_food;eval_mean_delivered_food;eval_mean_delivered_food_per_1000_ant_steps;eval_mean_delivered_fraction;eval_mean_episode_length;eval_mean_episode_return;eval_mean_steps_per_delivered_food;eval_success_rate;final_mean_border_moat_cost;final_mean_nonzero_byte_fraction;final_mean_nonzero_byte_tiles;final_mean_remaining_food;final_mean_viewed_cell_count;final_mean_viewed_cell_fraction;final_mean_visible_border_cells;final_mean_visited_cell_count;final_mean_visited_cell_fraction;global_step;grad_norm;learning_rate;loss;mean_border_moat_cost;mean_carrying_ants;mean_nonzero_byte_fraction;mean_nonzero_byte_tiles;mean_overwrites_per_env_step;mean_viewed_cell_count;mean_viewed_cell_fraction;mean_visible_border_cells;mean_visited_cell_count;mean_visited_cell_fraction;mean_write_action_value;mean_write_attempts_per_env_step;nonzero_writes_per_delivery;num_updates;pickup_events;policy_loss;terminated_episodes;truncated_episodes;update;value_loss;viewed_cell_events;visited_cell_events;write_action_nonzero_rate
runs/bridge_100x100_sweep/continue120_20260703_004806/continue120_0003_hard375_from_best_mt050_lr5e6_u16/wandb/run-20260702_221214-unmft6ad	hundred-bridge-maze-stress	unmft6ad	20260702_221214	yes	yes	yes	cool-antz	continue120_20260703_004806	continue120_0003_hard375_from_best_mt050_lr5e6_u16	jax_mappo_100x100_continue120_0003_hard375_from_best_mt050_lr5e6_u16	ed2d78e726fde73d599297921600279d00f8066c	scripts/run_100x100_continuation_sweep.py	2026-07-03T01:12:14.789881Z	373	0.9946666666666667	0.75	32	20	8	2.166882038116455	27.5	0.9960125012643797	16384	16	16	_runtime;_step;_timestamp;_wandb;actor_grad_norm;applied_write_action_nonzero_rate;approx_kl;best_eval_episodes;best_eval_seed_offset;best_model_metric_value;carrying_write_action_nonzero_rate;clipfrac;completed_episodes;critic_grad_norm;delivery_events;empty_write_action_nonzero_rate;entropy;env_return;episode_return;eval_mean_ant_steps_per_delivered_food;eval_mean_delivered_food;eval_mean_delivered_food_per_1000_ant_steps;eval_mean_delivered_fraction;eval_mean_episode_length;eval_mean_episode_return;eval_mean_steps_per_delivered_food;eval_success_rate;final_mean_border_moat_cost;final_mean_nonzero_byte_fraction;final_mean_nonzero_byte_tiles;final_mean_remaining_food;final_mean_viewed_cell_count;final_mean_viewed_cell_fraction;final_mean_visible_border_cells;final_mean_visited_cell_count;final_mean_visited_cell_fraction;global_step;grad_norm;learning_rate;loss;mean_border_moat_cost;mean_carrying_ants;mean_nonzero_byte_fraction;mean_nonzero_byte_tiles;mean_overwrites_per_env_step;mean_viewed_cell_count;mean_viewed_cell_fraction;mean_visible_border_cells;mean_visited_cell_count;mean_visited_cell_fraction;mean_write_action_value;mean_write_attempts_per_env_step;nonzero_writes_per_delivery;num_updates;pickup_events;policy_loss;terminated_episodes;truncated_episodes;update;value_loss;viewed_cell_events;visited_cell_events;write_action_nonzero_rate
runs/bridge_100x100_sweep/continue120_from_hard375_20260703_012858/continue120_0000_mid250_from_best_mt050_lr5e6_u24/wandb/run-20260702_222908-h1f8gaxr	hundred-bridge-maze-stress	h1f8gaxr	20260702_222908	yes	yes	yes	cool-antz	continue120_from_hard375_20260703_012858	continue120_0000_mid250_from_best_mt050_lr5e6_u24	jax_mappo_100x100_continue120_0000_mid250_from_best_mt050_lr5e6_u24	aea6e52180b03212a67134624d0664aec11e0c6e	scripts/run_100x100_continuation_sweep.py	2026-07-03T01:29:08.923803Z	248.25	0.993	0.5	88	101	22	17.244007110595703	38.5	0.8426829714887292	24576	24	24	_runtime;_step;_timestamp;_wandb;actor_grad_norm;applied_write_action_nonzero_rate;approx_kl;best_eval_episodes;best_eval_seed_offset;best_model_metric_value;carrying_write_action_nonzero_rate;clipfrac;completed_episodes;critic_grad_norm;delivery_events;empty_write_action_nonzero_rate;entropy;env_return;episode_return;eval_mean_ant_steps_per_delivered_food;eval_mean_delivered_food;eval_mean_delivered_food_per_1000_ant_steps;eval_mean_delivered_fraction;eval_mean_episode_length;eval_mean_episode_return;eval_mean_steps_per_delivered_food;eval_success_rate;final_mean_border_moat_cost;final_mean_nonzero_byte_fraction;final_mean_nonzero_byte_tiles;final_mean_remaining_food;final_mean_viewed_cell_count;final_mean_viewed_cell_fraction;final_mean_visible_border_cells;final_mean_visited_cell_count;final_mean_visited_cell_fraction;global_step;grad_norm;learning_rate;loss;mean_border_moat_cost;mean_carrying_ants;mean_nonzero_byte_fraction;mean_nonzero_byte_tiles;mean_overwrites_per_env_step;mean_viewed_cell_count;mean_viewed_cell_fraction;mean_visible_border_cells;mean_visited_cell_count;mean_visited_cell_fraction;mean_write_action_value;mean_write_attempts_per_env_step;nonzero_writes_per_delivery;num_updates;pickup_events;policy_loss;terminated_episodes;truncated_episodes;update;value_loss;viewed_cell_events;visited_cell_events;write_action_nonzero_rate
runs/bridge_100x100_sweep/continue120_from_hard375_20260703_012858/continue120_0001_mid250_from_best_mt0525_lr5e6_u24/wandb/run-20260702_223900-ruqsgxl9	hundred-bridge-maze-stress	ruqsgxl9	20260702_223900	no	yes	no	.	.	.	.	c4851c7941ef0bffd53de2452d6ac6c56a501bfd	scripts/run_100x100_continuation_sweep.py	2026-07-03T01:39:00.578361Z	.	.	.	.	.	.	.	.	.	.	.	.	.
runs/bridge_100x100_sweep/continue_20260702_225027/continue_0000_mid250_from_best_mt050_lr5e6_u24/wandb/run-20260702_195039-vcazy6hk	hundred-bridge-maze-stress	vcazy6hk	20260702_195039	yes	yes	yes	cool-antz	continue_20260702_225027	continue_0000_mid250_from_best_mt050_lr5e6_u24	jax_mappo_100x100_continue_0000_mid250_from_best_mt050_lr5e6_u24	483a22cf27f4979fffe54921d2964661596905f5	scripts/run_100x100_continuation_sweep.py	2026-07-02T22:50:39.300364Z	221.75	0.887	0.25	87	110	21.75	20.099750518798828	113.25	1.0619455189790556	24576	24	24	_runtime;_step;_timestamp;_wandb;actor_grad_norm;applied_write_action_nonzero_rate;approx_kl;best_eval_episodes;best_eval_seed_offset;best_model_metric_value;carrying_write_action_nonzero_rate;clipfrac;completed_episodes;critic_grad_norm;delivery_events;empty_write_action_nonzero_rate;entropy;env_return;episode_return;eval_mean_ant_steps_per_delivered_food;eval_mean_delivered_food;eval_mean_delivered_food_per_1000_ant_steps;eval_mean_delivered_fraction;eval_mean_episode_length;eval_mean_episode_return;eval_mean_steps_per_delivered_food;eval_success_rate;final_mean_border_moat_cost;final_mean_nonzero_byte_fraction;final_mean_nonzero_byte_tiles;final_mean_remaining_food;final_mean_viewed_cell_count;final_mean_viewed_cell_fraction;final_mean_visible_border_cells;final_mean_visited_cell_count;final_mean_visited_cell_fraction;global_step;grad_norm;learning_rate;loss;mean_border_moat_cost;mean_carrying_ants;mean_nonzero_byte_fraction;mean_nonzero_byte_tiles;mean_overwrites_per_env_step;mean_viewed_cell_count;mean_viewed_cell_fraction;mean_visible_border_cells;mean_visited_cell_count;mean_visited_cell_fraction;mean_write_action_value;mean_write_attempts_per_env_step;nonzero_writes_per_delivery;num_updates;pickup_events;policy_loss;terminated_episodes;truncated_episodes;update;value_loss;viewed_cell_events;visited_cell_events;write_action_nonzero_rate
runs/bridge_100x100_sweep/continue_20260702_225027/continue_0001_mid250_from_best_mt0525_lr5e6_u24/wandb/run-20260702_195743-btymay6y	hundred-bridge-maze-stress	btymay6y	20260702_195743	yes	yes	yes	cool-antz	continue_20260702_225027	continue_0001_mid250_from_best_mt0525_lr5e6_u24	jax_mappo_100x100_continue_0001_mid250_from_best_mt0525_lr5e6_u24	483a22cf27f4979fffe54921d2964661596905f5	scripts/run_100x100_continuation_sweep.py	2026-07-02T22:57:43.659186Z	181.75	0.7270000000000001	0	110	106	27.5	25.789291381835938	136.75	0.8713501897745032	24576	24	24	_runtime;_step;_timestamp;_wandb;actor_grad_norm;applied_write_action_nonzero_rate;approx_kl;best_eval_episodes;best_eval_seed_offset;best_model_metric_value;carrying_write_action_nonzero_rate;clipfrac;completed_episodes;critic_grad_norm;delivery_events;empty_write_action_nonzero_rate;entropy;env_return;episode_return;eval_mean_ant_steps_per_delivered_food;eval_mean_delivered_food;eval_mean_delivered_food_per_1000_ant_steps;eval_mean_delivered_fraction;eval_mean_episode_length;eval_mean_episode_return;eval_mean_steps_per_delivered_food;eval_success_rate;final_mean_border_moat_cost;final_mean_nonzero_byte_fraction;final_mean_nonzero_byte_tiles;final_mean_remaining_food;final_mean_viewed_cell_count;final_mean_viewed_cell_fraction;final_mean_visible_border_cells;final_mean_visited_cell_count;final_mean_visited_cell_fraction;global_step;grad_norm;learning_rate;loss;mean_border_moat_cost;mean_carrying_ants;mean_nonzero_byte_fraction;mean_nonzero_byte_tiles;mean_overwrites_per_env_step;mean_viewed_cell_count;mean_viewed_cell_fraction;mean_visible_border_cells;mean_visited_cell_count;mean_visited_cell_fraction;mean_write_action_value;mean_write_attempts_per_env_step;nonzero_writes_per_delivery;num_updates;pickup_events;policy_loss;terminated_episodes;truncated_episodes;update;value_loss;viewed_cell_events;visited_cell_events;write_action_nonzero_rate
runs/bridge_100x100_sweep/continue_20260702_225027/continue_0002_mid250_from_best_mt060_lr5e6_u16/wandb/run-20260702_200445-ljrs5nyz	hundred-bridge-maze-stress	ljrs5nyz	20260702_200445	yes	yes	yes	cool-antz	continue_20260702_225027	continue_0002_mid250_from_best_mt060_lr5e6_u16	jax_mappo_100x100_continue_0002_mid250_from_best_mt060_lr5e6_u16	483a22cf27f4979fffe54921d2964661596905f5	scripts/run_100x100_continuation_sweep.py	2026-07-02T23:04:45.839682Z	184.5	0.738	0	1	13	0.25	-2.6364660263061523	16.25	0.7275	16384	16	16	_runtime;_step;_timestamp;_wandb;actor_grad_norm;applied_write_action_nonzero_rate;approx_kl;best_eval_episodes;best_eval_seed_offset;best_model_metric_value;carrying_write_action_nonzero_rate;clipfrac;completed_episodes;critic_grad_norm;delivery_events;empty_write_action_nonzero_rate;entropy;env_return;episode_return;eval_mean_ant_steps_per_delivered_food;eval_mean_delivered_food;eval_mean_delivered_food_per_1000_ant_steps;eval_mean_delivered_fraction;eval_mean_episode_length;eval_mean_episode_return;eval_mean_steps_per_delivered_food;eval_success_rate;final_mean_border_moat_cost;final_mean_nonzero_byte_fraction;final_mean_nonzero_byte_tiles;final_mean_remaining_food;final_mean_viewed_cell_count;final_mean_viewed_cell_fraction;final_mean_visible_border_cells;final_mean_visited_cell_count;final_mean_visited_cell_fraction;global_step;grad_norm;learning_rate;loss;mean_border_moat_cost;mean_carrying_ants;mean_nonzero_byte_fraction;mean_nonzero_byte_tiles;mean_overwrites_per_env_step;mean_viewed_cell_count;mean_viewed_cell_fraction;mean_visible_border_cells;mean_visited_cell_count;mean_visited_cell_fraction;mean_write_action_value;mean_write_attempts_per_env_step;nonzero_writes_per_delivery;num_updates;pickup_events;policy_loss;terminated_episodes;truncated_episodes;update;value_loss;viewed_cell_events;visited_cell_events;write_action_nonzero_rate
runs/bridge_100x100_sweep/continue_20260702_225027/continue_0003_hard375_from_best_mt050_lr5e6_u16/wandb/run-20260702_201044-1y9tvqkr	hundred-bridge-maze-stress	1y9tvqkr	20260702_201044	yes	yes	yes	cool-antz	continue_20260702_225027	continue_0003_hard375_from_best_mt050_lr5e6_u16	jax_mappo_100x100_continue_0003_hard375_from_best_mt050_lr5e6_u16	483a22cf27f4979fffe54921d2964661596905f5	scripts/run_100x100_continuation_sweep.py	2026-07-02T23:10:44.148381Z	363.5	0.9693333333333334	0.5	8	17	2	-0.8362622261047363	84.5	1.565027507351373	16384	16	16	_runtime;_step;_timestamp;_wandb;actor_grad_norm;applied_write_action_nonzero_rate;approx_kl;best_eval_episodes;best_eval_seed_offset;best_model_metric_value;carrying_write_action_nonzero_rate;clipfrac;completed_episodes;critic_grad_norm;delivery_events;empty_write_action_nonzero_rate;entropy;env_return;episode_return;eval_mean_ant_steps_per_delivered_food;eval_mean_delivered_food;eval_mean_delivered_food_per_1000_ant_steps;eval_mean_delivered_fraction;eval_mean_episode_length;eval_mean_episode_return;eval_mean_steps_per_delivered_food;eval_success_rate;final_mean_border_moat_cost;final_mean_nonzero_byte_fraction;final_mean_nonzero_byte_tiles;final_mean_remaining_food;final_mean_viewed_cell_count;final_mean_viewed_cell_fraction;final_mean_visible_border_cells;final_mean_visited_cell_count;final_mean_visited_cell_fraction;global_step;grad_norm;learning_rate;loss;mean_border_moat_cost;mean_carrying_ants;mean_nonzero_byte_fraction;mean_nonzero_byte_tiles;mean_overwrites_per_env_step;mean_viewed_cell_count;mean_viewed_cell_fraction;mean_visible_border_cells;mean_visited_cell_count;mean_visited_cell_fraction;mean_write_action_value;mean_write_attempts_per_env_step;nonzero_writes_per_delivery;num_updates;pickup_events;policy_loss;terminated_episodes;truncated_episodes;update;value_loss;viewed_cell_events;visited_cell_events;write_action_nonzero_rate
