run,label,mode,delivered_food,delivered_fraction,success_rate,food_total
DISTANCE_SHAPE,1 ant + distancia,greedy,13.75,0.5978260869565217,0.0,23
DISTANCE_SHAPE,1 ant + distancia,sampled,7.0,0.30434782608695654,0.0,23
DISTANCE_CAP4,4 ants,greedy,2.75,0.11956521739130435,0.0,23
DISTANCE_CAP4,4 ants,sampled,23.0,1.0,1.0,23
DISTANCE_CAP4_SHARP,sharp,greedy,13.0,0.5652173913043479,0.0,23
DISTANCE_CAP4_SHARP,sharp,sampled,20.5,0.8913043478260869,0.5,23
DISTANCE_CAP4_LONG_CREDIT_TUNE,long credit,greedy,11.0,0.4782608695652174,0.0,23
DISTANCE_CAP4_LONG_CREDIT_TUNE,long credit,sampled,23.0,1.0,1.0,23
DISTANCE_CAP4_LONG_CREDIT_GENTLE_GREEDY,gentle greedy,greedy,14.75,0.6413043478260869,0.25,23
DISTANCE_CAP4_LONG_CREDIT_GENTLE_GREEDY,gentle greedy,sampled,23.0,1.0,1.0,23
DISTANCE_CAP4_NO_WRITE,sin escritura,greedy,0.0,0.0,0.0,23
DISTANCE_CAP4_NO_WRITE,sin escritura,sampled,22.0,0.9565217391304348,0.5,23
