family,setting,task,episode_return,env_return
bits,2,15x15 aprox.,6.398124694824219,4.375
bits,2,25x25 anchor,0.7243750095367432,0.4375
bits,3,15x15 aprox.,6.882499694824219,4.6875
bits,3,25x25 anchor,0.669374942779541,0.375
bits,5,15x15 aprox.,7.364999771118164,5.0
bits,5,25x25 anchor,0.7707070708274841,0.4375
bits,8,15x15 aprox.,6.996249675750732,4.8125
bits,8,25x25 anchor,0.6006249785423279,0.3125
ants,2,"25x25, 3 bits",7.78749942779541,4.8125
ants,3,"25x25, 3 bits",10.698749542236328,6.8125
ants,4,"25x25, 3 bits",12.544999122619629,7.8125
ants,6,"25x25, 3 bits",16.12874984741211,9.9375
ants,8,"25x25, 3 bits",18.229373931884766,10.875
